Application Date,Contact Email,Contact Phone Number,Company Name,Job Title,Job Url,Resume Name,Question And Answers,Status Date,Tempo_resposta_dias
2025-02-04,teresa.west2025@gmail.com,0500 075 3998,SafeHarbor,Frontend Developer,https://www.linkedin.com/jobs/view/frontend-developer-6051,LinkedIn_Resume_946.pdf,"Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Preferred work model?
A: Notice period: immediate",2025-02-20,16
2024-12-18,bruno.teixeira_app@example.com,(041) 1863-7599,CuraTech,Quality Assurance,https://www.linkedin.com/jobs/view/quality-assurance-4022,LinkedIn_Resume_560.pdf,"Q: Salary expectations?
A: I have full authorization to work in the country.

Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have work authorization in this country?
A: Expected salary: R$ 13780

Q: Salary expectations?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2025-02-06,50
2025-03-02,nina.farias1@example.com,+55 84 2575-4090,TechWave,Frontend Developer,https://www.linkedin.com/jobs/view/frontend-developer-2276,resume_1.pdf,"Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.

Q: Do you have work authorization in this country?
A: My LinkedIn: https://www.ruiz-gutierrez.com/

Q: Describe a challenge you solved recently.
A: Theory star station recognize media goal own spend scene law agree appear political.

Q: Describe a challenge you solved recently.
A: Notice period: 2 weeks

Q: Salary expectations?
A: I have full authorization to work in the country.",2025-03-17,15
2023-11-12,nina.nascimento1@hotmail.com,001-851-953-7749x26632,GreenNest,UX Designer,https://www.linkedin.com/jobs/view/ux-designer-2106,LinkedIn_Resume_842.pdf,"Q: Describe a challenge you solved recently.
A: Notice period: 30 days

Q: LinkedIn profile link?
A: Notice period: 2 weeks

Q: Describe a challenge you solved recently.
A: Prefer hybrid, 2-3 times a week in office.

Q: Why are you interested in this role?
A: Optio sunt quae modi sit molestiae modi voluptatibus error ab quis autem eveniet nam animi.

Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2023-12-11,29
2023-12-06,hannah.thompson@example.com,71 5754 2786,Helix Systems,Backend Developer,https://www.linkedin.com/jobs/view/backend-developer-5981,CV_Hannah_1.pdf,"Q: LinkedIn profile link?
A: I have full authorization to work in the country.

Q: LinkedIn profile link?
A: My LinkedIn: http://www.mckinney.com/",2024-01-22,47
2025-02-19,dr..enrico.ribeiro1@hotmail.com,+55 61 4708 2723,TechWave,Customer Success Manager,https://www.linkedin.com/jobs/view/customer-success-manager-3536,LinkedIn_Resume_602.pdf,"Q: Do you have work authorization in this country?
A: I have full authorization to work in the country.

Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2025-03-28,37
2024-08-17,laís.novaes@gmail.com,+55 (081) 2594-2328,AgroPlus,Marketing Specialist,https://www.linkedin.com/jobs/view/marketing-specialist-6250,LinkedIn_Resume_928.pdf,"Q: Preferred work model?
A: Prefer hybrid, 2-3 times a week in office.

Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-10-08,52
2024-02-27,eddie.fowler1@example.com,832-192-8554,UrbanNest,Sales Representative,https://www.linkedin.com/jobs/view/sales-representative-3999,CV_Eddie_2.pdf,"Q: Describe a challenge you solved recently.
A: My LinkedIn: http://www.santos.com/

Q: Describe a challenge you solved recently.
A: Itaque asperiores reprehenderit unde laboriosam est facere repellendus suscipit nisi quis exercitationem quae.

Q: Preferred work model?
A: Expected salary: R$ 7196

Q: Do you have experience with remote teams?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-03-11,13
2024-09-01,dr..juan.da.cunha2025@hotmail.com,+55 (061) 0234-1326,CloudNine,Operations Manager,https://www.linkedin.com/jobs/view/operations-manager-8780,LinkedIn_Resume_915.pdf,"Q: Do you have experience with remote teams?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2024-10-12,41
2025-07-14,tara.sanders_app@example.com,027-011-6864x6225,UrbanNest,Business Analyst,https://www.linkedin.com/jobs/view/business-analyst-6004,CV_Tara_3.pdf,"Q: Salary expectations?
A: My LinkedIn: http://alexander-durham.com/

Q: LinkedIn profile link?
A: My LinkedIn: https://www.castro.com/

Q: Preferred work model?
A: Notice period: 2 weeks

Q: What is your notice period?
A: Notice period: 1 month",2025-08-10,27
2025-06-28,giovanna.rodrigues2025@gmail.com,001-443-034-9189x11797,MarketMind,Sales Representative,https://www.linkedin.com/jobs/view/sales-representative-2391,CV_Giovanna_1.pdf,"Q: Do you have experience with remote teams?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Why are you interested in this role?
A: I have full authorization to work in the country.",2025-07-14,16
2025-06-02,lucas.gabriel.pires_app@example.com,+1-166-984-1661x23740,Viva Retail,Backend Developer,https://www.linkedin.com/jobs/view/backend-developer-2922,resume_1.pdf,"Q: LinkedIn profile link?
A: Expected salary: R$ 6133

Q: What is your notice period?
A: Notice period: 2 weeks

Q: Salary expectations?
A: My LinkedIn: https://www.huff.com/",2025-06-27,25
2025-10-24,derek.bowers1@example.com,41 9656 1308,Echo Security,Mobile Developer,https://www.linkedin.com/jobs/view/mobile-developer-8777,CV_Derek_3.pdf,"Q: What is your notice period?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have work authorization in this country?
A: My LinkedIn: https://www.dougherty.net/

Q: Why are you interested in this role?
A: Expected salary: R$ 5895",2025-11-09,16
2024-01-25,michelle.beard.md1@outlook.com,959-224-8395x89477,AgroPlus,DevOps Engineer,https://www.linkedin.com/jobs/view/devops-engineer-7387,LinkedIn_Resume_234.pdf,"Q: Why are you interested in this role?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have experience with remote teams?
A: Notice period: 1 month

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-02-09,15
2024-06-06,rebekah.greene1@outlook.com,(051) 2074 4666,Helix Systems,Backend Developer,https://www.linkedin.com/jobs/view/backend-developer-6598,resume_2.pdf,"Q: Preferred work model?
A: Notice period: 1 month

Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-07-22,46
2025-01-16,christian.archer@hotmail.com,51 7991 6091,CloudNine,Mobile Developer,https://www.linkedin.com/jobs/view/mobile-developer-3323,CV_Christian_4.pdf,"Q: Salary expectations?
A: Prefer hybrid, 2-3 times a week in office.

Q: Salary expectations?
A: Notice period: 2 weeks

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Describe a challenge you solved recently.
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2025-02-24,39
2024-06-24,joaquim.alves1@hotmail.com,(218)169-8141,InnovaLabs,Product Manager,https://www.linkedin.com/jobs/view/product-manager-4533,CV_Joaquim_3.pdf,"Q: Why are you interested in this role?
A: I have full authorization to work in the country.

Q: Describe a challenge you solved recently.
A: My LinkedIn: http://www.nascimento.br/

Q: Do you have work authorization in this country?
A: Notice period: immediate

Q: LinkedIn profile link?
A: Prefer hybrid, 2-3 times a week in office.

Q: Preferred work model?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2024-06-27,3
2024-09-03,maria.fernanda.peixoto@example.com,(827)109-1043x006,NextGen Mobility,Mobile Developer,https://www.linkedin.com/jobs/view/mobile-developer-8504,LinkedIn_Resume_602.pdf,"Q: Do you have work authorization in this country?
A: Notice period: 2 weeks

Q: LinkedIn profile link?
A: Expected salary: R$ 11433

Q: Do you have work authorization in this country?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Salary expectations?
A: I have full authorization to work in the country.

Q: Preferred work model?
A: Notice period: 2 weeks",2024-09-29,26
2024-07-09,dr..alexandre.duarte_app@gmail.com,+55 (071) 1819-5883,Viva Retail,Business Analyst,https://www.linkedin.com/jobs/view/business-analyst-9123,CV_Dr._1.pdf,"Q: Preferred work model?
A: Notice period: 2 weeks

Q: LinkedIn profile link?
A: Notice period: 30 days

Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Preferred work model?
A: I have full authorization to work in the country.

Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-09-02,55
2024-05-22,fernando.nogueira@example.com,(776)572-5659,NextGen Mobility,Project Coordinator,https://www.linkedin.com/jobs/view/project-coordinator-7152,resume_1.pdf,"Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Preferred work model?
A: Guess gas past front bit sign wide cut challenge quite tax season event hospital more opportunity.

Q: Why are you interested in this role?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have experience with remote teams?
A: My LinkedIn: http://olsen.net/

Q: Describe a challenge you solved recently.
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2024-06-17,26
2025-03-08,arthur.wiggins_app@gmail.com,+55 31 8569-5579,Viva Retail,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-2712,CV_Arthur_2.pdf,"Q: Do you have experience with remote teams?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: Draw American first call employee continue none alone first.

Q: Do you have work authorization in this country?
A: Notice period: 2 weeks

Q: What is your notice period?
A: Expected salary: R$ 13172",2025-03-12,4
2024-07-28,evelyn.galvan1@outlook.com,+1-342-160-7337x54330,EduScale,Backend Developer,https://www.linkedin.com/jobs/view/backend-developer-9645,LinkedIn_Resume_548.pdf,"Q: Do you have work authorization in this country?
A: Id eius architecto quo expedita magni perspiciatis sapiente ex adipisci.

Q: What is your notice period?
A: Ipsa quas et non maiores harum nemo ducimus provident a unde modi quaerat quia perferendis facilis.

Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: LinkedIn profile link?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: What is your notice period?
A: I have full authorization to work in the country.",2024-08-19,22
2024-04-28,stephanie.edwards@gmail.com,629-518-7794,MobiWorks,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-6046,LinkedIn_Resume_760.pdf,"Q: Do you have work authorization in this country?
A: Notice period: 30 days

Q: Describe a challenge you solved recently.
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2024-06-27,60
2025-05-24,andré.castro1@hotmail.com,001-739-739-6417x899,NextGen Mobility,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-7347,CV_André_3.pdf,"Q: Describe a challenge you solved recently.
A: Notice period: 2 weeks

Q: Do you have experience with remote teams?
A: Notice period: immediate

Q: Salary expectations?
A: Notice period: 2 weeks

Q: Do you have experience with remote teams?
A: Prefer hybrid, 2-3 times a week in office.

Q: Describe a challenge you solved recently.
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2025-06-15,22
2024-06-24,valerie.wilson_app@example.com,(084) 7412-7469,TechWave,UX Designer,https://www.linkedin.com/jobs/view/ux-designer-4496,CV_Valerie_2.pdf,"Q: Why are you interested in this role?
A: Expected salary: R$ 14328

Q: Salary expectations?
A: Expected salary: R$ 11987

Q: Do you have experience with remote teams?
A: Suddenly center suddenly happen store report adult.

Q: Salary expectations?
A: Expected salary: R$ 18628

Q: Do you have experience with remote teams?
A: Expected salary: R$ 11345",2024-07-29,35
2024-08-07,ashley.davenport1@example.com,(638)361-5171x8275,Helix Systems,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-4683,resume_5.pdf,"Q: Preferred work model?
A: I have full authorization to work in the country.

Q: What is your notice period?
A: Prefer hybrid, 2-3 times a week in office.

Q: Do you have work authorization in this country?
A: Prefer hybrid, 2-3 times a week in office.

Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-10-01,55
2024-08-09,joseph.murphy2025@outlook.com,(041) 7876 9899,MarketMind,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-7995,CV_Joseph_1.pdf,"Q: Why are you interested in this role?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have work authorization in this country?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: I have full authorization to work in the country.",2024-10-06,58
2024-10-20,james.allen@example.com,+55 (021) 5028 1640,NeoBuild,Content Strategist,https://www.linkedin.com/jobs/view/content-strategist-6996,LinkedIn_Resume_636.pdf,"Q: Describe a challenge you solved recently.
A: Nation building teacher only or write around scientist police century career part fund read should least.

Q: What is your notice period?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2024-10-30,10
2023-11-18,eric.thompson2025@outlook.com,+55 31 6462-8055,EduScale,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-6878,resume_5.pdf,"Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Do you have experience with remote teams?
A: Alone view total foot amount pick finally agree wrong big do week you leg medical hold.

Q: LinkedIn profile link?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have experience with remote teams?
A: Ab similique quis praesentium amet eum excepturi sint.",2024-01-04,47
2024-03-14,james.wood2025@outlook.com,+1-092-428-7572,Viva Retail,Customer Success Manager,https://www.linkedin.com/jobs/view/customer-success-manager-7337,resume_1.pdf,"Q: LinkedIn profile link?
A: Expected salary: R$ 19543

Q: LinkedIn profile link?
A: Notice period: 1 month",2024-04-17,34
2024-02-08,luiza.araújo@outlook.com,51 5627 2980,CuraTech,Content Strategist,https://www.linkedin.com/jobs/view/content-strategist-1828,resume_4.pdf,"Q: Why are you interested in this role?
A: My LinkedIn: https://ribeiro.com/

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: LinkedIn profile link?
A: Prefer hybrid, 2-3 times a week in office.

Q: Why are you interested in this role?
A: I have full authorization to work in the country.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2024-03-23,44
2024-09-06,jamie.gallagher1@gmail.com,51 1643 2126,MobiWorks,Operations Manager,https://www.linkedin.com/jobs/view/operations-manager-9095,LinkedIn_Resume_407.pdf,"Q: Do you have work authorization in this country?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Why are you interested in this role?
A: I have full authorization to work in the country.

Q: Preferred work model?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have work authorization in this country?
A: Store every rise care particular recent purpose future face.

Q: Describe a challenge you solved recently.
A: Notice period: 1 month",2024-10-08,32
2024-11-27,tammy.perez2025@outlook.com,+55 31 1808 1896,SafeHarbor,Mobile Developer,https://www.linkedin.com/jobs/view/mobile-developer-7393,resume_1.pdf,"Q: Do you have experience with remote teams?
A: My LinkedIn: https://www.oliveira.br/

Q: Do you have work authorization in this country?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-12-26,29
2024-07-10,cauã.da.cruz1@hotmail.com,(051) 3137 9561,SafeHarbor,Project Coordinator,https://www.linkedin.com/jobs/view/project-coordinator-3498,CV_Cauã_2.pdf,"Q: Do you have experience with remote teams?
A: Notice period: 30 days

Q: What is your notice period?
A: My LinkedIn: https://wallace.biz/

Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-08-08,29
2024-10-05,beatriz.oliveira2025@hotmail.com,+55 51 4933 1637,SafeHarbor,Operations Manager,https://www.linkedin.com/jobs/view/operations-manager-3185,CV_Beatriz_4.pdf,"Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Why are you interested in this role?
A: My LinkedIn: http://stuart-waller.info/

Q: Salary expectations?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2024-10-30,25
2025-05-27,connor.west_app@example.com,(247)317-8108x01326,Skyline Solutions,Quality Assurance,https://www.linkedin.com/jobs/view/quality-assurance-9830,CV_Connor_2.pdf,"Q: Why are you interested in this role?
A: Expected salary: R$ 16977

Q: Do you have work authorization in this country?
A: My LinkedIn: http://www.wilson-zamora.com/",2025-06-21,25
2025-04-04,mary.lane@example.com,+1-350-061-8489x7422,NimbusAI,Marketing Specialist,https://www.linkedin.com/jobs/view/marketing-specialist-9005,CV_Mary_2.pdf,"Q: Preferred work model?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2025-05-30,56
2024-11-03,chad.schneider.dvm@hotmail.com,6011987561,BlueLeaf,Business Analyst,https://www.linkedin.com/jobs/view/business-analyst-7873,resume_5.pdf,"Q: Do you have work authorization in this country?
A: My LinkedIn: http://www.bennett.com/

Q: LinkedIn profile link?
A: Notice period: immediate

Q: Why are you interested in this role?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2024-12-10,37
2024-06-28,ana.laura.peixoto2025@hotmail.com,064-630-0593x77756,CuraTech,Customer Success Manager,https://www.linkedin.com/jobs/view/customer-success-manager-9737,CV_Ana_2.pdf,"Q: Do you have work authorization in this country?
A: I have full authorization to work in the country.

Q: Describe a challenge you solved recently.
A: At hit class nothing soon data budget main may happen newspaper.

Q: Salary expectations?
A: I have full authorization to work in the country.",2024-07-28,30
2025-01-29,lacey.smith1@gmail.com,(081) 9446 3339,Translink,Business Analyst,https://www.linkedin.com/jobs/view/business-analyst-1307,resume_6.pdf,"Q: Salary expectations?
A: Expected salary: R$ 11144

Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Do you have work authorization in this country?
A: Character thousand sure seek age share day pull job themselves garden again medical.

Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2025-03-06,36
2025-07-16,pietro.teixeira1@hotmail.com,631-224-1797x497,ByteForge,Business Analyst,https://www.linkedin.com/jobs/view/business-analyst-8932,CV_Pietro_3.pdf,"Q: Do you have experience with remote teams?
A: My LinkedIn: http://peterson.info/

Q: LinkedIn profile link?
A: Prefer hybrid, 2-3 times a week in office.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2025-09-05,51
2025-06-28,ronnie.powers@hotmail.com,+55 71 5695 6201,DataPulse,Quality Assurance,https://www.linkedin.com/jobs/view/quality-assurance-6210,CV_Ronnie_2.pdf,"Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: What is your notice period?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Describe a challenge you solved recently.
A: Rock ever summer age wide question pass quite third ability interview pull practice take follow.

Q: Describe a challenge you solved recently.
A: I have full authorization to work in the country.",2025-07-22,24
2024-03-14,isabelly.barros2025@outlook.com,+55 41 6059-5298,SafeHarbor,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-5068,LinkedIn_Resume_655.pdf,"Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Why are you interested in this role?
A: Language fire magazine only bit understand wonder recognize number machine off must everyone young smile.

Q: Do you have work authorization in this country?
A: Others song debate statement simple job describe capital develop opportunity throw.",2024-03-24,10
2025-08-15,calebe.peixoto@example.com,0900 797 2965,UrbanNest,Project Coordinator,https://www.linkedin.com/jobs/view/project-coordinator-8489,resume_6.pdf,"Q: Salary expectations?
A: Expected salary: R$ 13349

Q: Describe a challenge you solved recently.
A: Optio odit corrupti repudiandae tempora nostrum accusamus vel magni iusto libero cumque.

Q: Salary expectations?
A: My LinkedIn: http://hart.com/

Q: Why are you interested in this role?
A: I have full authorization to work in the country.",2025-08-29,14
2025-02-26,eduardo.cunha_app@hotmail.com,075-818-1412x478,UrbanNest,DevOps Engineer,https://www.linkedin.com/jobs/view/devops-engineer-2874,resume_2.pdf,"Q: Do you have work authorization in this country?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Do you have work authorization in this country?
A: I have full authorization to work in the country.

Q: Why are you interested in this role?
A: Prefer hybrid, 2-3 times a week in office.

Q: Why are you interested in this role?
A: Prefer hybrid, 2-3 times a week in office.",2025-03-30,32
2025-06-19,pamela.watkins_app@outlook.com,788.519.0534x8640,AlphaCreative,Operations Manager,https://www.linkedin.com/jobs/view/operations-manager-1399,CV_Pamela_3.pdf,"Q: Do you have work authorization in this country?
A: Expected salary: R$ 8859

Q: LinkedIn profile link?
A: Qui illum ad eligendi delectus at consequuntur minima nobis aut beatae.",2025-07-19,30
2023-11-09,tina.smith2025@outlook.com,001-220-269-8014,GreenNest,HR Generalist,https://www.linkedin.com/jobs/view/hr-generalist-9819,CV_Tina_4.pdf,"Q: LinkedIn profile link?
A: I have full authorization to work in the country.

Q: LinkedIn profile link?
A: Expected salary: R$ 8775

Q: Why are you interested in this role?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL",2023-12-05,26
2025-04-19,ana.luiza.castro_app@hotmail.com,+55 31 8633-8392,MarketMind,Content Strategist,https://www.linkedin.com/jobs/view/content-strategist-9092,LinkedIn_Resume_266.pdf,"Q: LinkedIn profile link?
A: My LinkedIn: https://frey.biz/

Q: What is your notice period?
A: Prefer hybrid, 2-3 times a week in office.

Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Preferred work model?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Do you have experience with remote teams?
A: Section support up plant place approach modern floor north force.",2025-05-03,14
2025-04-09,joel.roman_app@gmail.com,+55 (031) 6403 9106,GreenNest,HR Generalist,https://www.linkedin.com/jobs/view/hr-generalist-1018,CV_Joel_3.pdf,"Q: Why are you interested in this role?
A: My LinkedIn: https://nascimento.br/

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Describe a challenge you solved recently.
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Do you have work authorization in this country?
A: My LinkedIn: https://www.da.net/

Q: LinkedIn profile link?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2025-05-17,38
